batsman,bowler,venue,phase,recent_bat_form,bowler_wickets_last50,batsman_runs_vs_bowler_last50,bat_phase_rpb,bp_wicket_rate,predicted_prob_wicket
pooran,marco jansen,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",powerplay,73.33333333333333,2.25,3.75,1.5425531914893618,0.044226044226044224,0.1996534
markram,marco jansen,"himachal pradesh cricket association stadium, dharamsala",powerplay,42.333333333333336,1.5,3.0,1.2717770034843205,0.044226044226044224,0.498118
ayush badoni,marco jansen,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",middle,10.666666666666666,1.0,13.75,1.1587837837837838,0.031088082901554404,0.09684618
warner,marco jansen,"rajiv gandhi international stadium, hyderabad",powerplay,42.333333333333336,1.0,0.0,1.3945578231292517,0.044226044226044224,0.54628754
uthappa,marco jansen,"dr dy patil sports academy, mumbai",powerplay,30.333333333333332,1.0,1.5,1.1452991452991452,0.044226044226044224,0.42944032
rajat patidar,marco jansen,"m.chinnaswamy stadium, bengaluru",middle,33.666666666666664,1.0,4.0,1.5661252900232019,0.031088082901554404,0.3086985
krunal pandya,marco jansen,"m.chinnaswamy stadium, bengaluru",middle,7.666666666666667,1.0,0.0,1.1459074733096086,0.031088082901554404,0.5853245
angkrish raghuvanshi,marco jansen,"maharaja yadavindra singh international cricket stadium, mullanpur, chandigarh",powerplay,27.0,2.3333333333333335,3.3333333333333335,1.6559139784946237,0.044226044226044224,0.4640071
nitish rana,marco jansen,"brabourne stadium, mumbai",powerplay,12.666666666666666,2.0,30.0,1.36318407960199,0.044226044226044224,0.21195553
nitish rana,marco jansen,"brabourne stadium, mumbai",middle,12.666666666666666,2.0,30.5,1.3793103448275863,0.031088082901554404,0.2105797
russell,marco jansen,"brabourne stadium, mumbai",middle,35.0,2.75,5.5,1.3904382470119523,0.031088082901554404,0.2764808
harshit rana,marco jansen,"maharaja yadavindra singh international cricket stadium, mullanpur, chandigarh",middle,6.333333333333333,3.0,0.0,0.5714285714285714,0.031088082901554404,0.3966172
vaibhav arora,marco jansen,"maharaja yadavindra singh international cricket stadium, mullanpur, chandigarh",middle,1.3333333333333333,3.0,0.0,0.0,0.031088082901554404,0.5714802
russell,marco jansen,"maharaja yadavindra singh international cricket stadium, mullanpur, chandigarh",death,4.333333333333333,3.0,5.0,1.6768802228412256,0.07534246575342465,0.5533866
narine,marco jansen,"maharaja yadavindra singh international cricket stadium, mullanpur, chandigarh",powerplay,27.0,3.0,6.75,1.559748427672956,0.044226044226044224,0.44140643
hasaranga,marco jansen,"brabourne stadium, mumbai",death,5.5,4.0,2.4,1.0303030303030303,0.07534246575342465,0.64652205
de kock,marco jansen,"maharaja yadavindra singh international cricket stadium, mullanpur, chandigarh",powerplay,13.0,4.0,0.5,1.2974238875878221,0.044226044226044224,0.5872818
hazlewood,marco jansen,"brabourne stadium, mumbai",death,7.0,4.0,0.0,0.9,0.07534246575342465,0.7663762
shaik rasheed,marco jansen,"ma chidambaram stadium, chennai",powerplay,15.333333333333334,3.6666666666666665,0.0,1.078125,0.044226044226044224,0.64111704
shubman gill,marco jansen,"narendra modi stadium, ahmedabad",middle,45.333333333333336,2.0,22.0,1.4963609898107715,0.031088082901554404,0.18788865
santner,mark wood,"ma chidambaram stadium, chennai",death,1.0,0.0,0.0,1.0612244897959184,0.15217391304347827,0.7543244
jitesh sharma,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,18.666666666666668,2.0,0.3333333333333333,1.8251748251748252,0.15217391304347827,0.78039104
dhoni,mark wood,"ma chidambaram stadium, chennai",death,15.666666666666666,1.0,6.0,1.5714285714285714,0.15217391304347827,0.69046205
raza,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,7.333333333333333,2.6666666666666665,3.6666666666666665,1.1904761904761905,0.15217391304347827,0.7522835
rayudu,mark wood,"ma chidambaram stadium, chennai",death,8.333333333333334,2.4,6.0,1.505050505050505,0.15217391304347827,0.5664244
du plessis,mark wood,"m.chinnaswamy stadium, bengaluru",death,40.333333333333336,2.8,4.8,1.6355932203389831,0.15217391304347827,0.69420236
conway,mark wood,"ma chidambaram stadium, chennai",middle,7.333333333333333,2.5,0.0,1.4137931034482758,0.06666666666666667,0.5242377
powell,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",middle,16.0,3.0,0.5,1.027027027027027,0.06666666666666667,0.72375494
raza,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",middle,7.333333333333333,3.0,5.75,1.3478260869565217,0.06666666666666667,0.46251383
moeen ali,mark wood,"ma chidambaram stadium, chennai",middle,45.666666666666664,3.0,0.5,1.0437158469945356,0.06666666666666667,0.6294371
warner,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",middle,19.0,4.142857142857143,3.857142857142857,1.2613240418118468,0.06666666666666667,0.4340526
shivam dube,mark wood,"ma chidambaram stadium, chennai",middle,9.666666666666666,3.0,0.5,1.342809364548495,0.06666666666666667,0.6240213
shahrukh khan,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,12.333333333333334,3.0,6.5,1.5213270142180095,0.15217391304347827,0.493839
