batter,bowler,balls_faced,runs_scored,dismissals,innings_faced,strike_rate
Axar,Nitish Reddy,2,2,0,1,100
Axar,Noor Ahmad,22,36,2,3,163.6363636
Axar,Pathirana,13,19,1,3,146.1538462
Axar,Prasidh,10,8,2,3,80
Axar,Prince Yadav,2,2,0,1,100
Axar,Rabada,6,9,0,2,150
Axar,Rahul Chahar,8,2,1,3,25
Axar,Ramandeep Singh,2,6,0,1,300
Axar,Rashid Khan,51,80,0,5,156.8627451
Axar,Ravi Bishnoi,9,23,0,2,255.5555556
Axar,Riyan Parag,5,9,0,1,180
Axar,Russell,9,22,0,2,244.4444444
Axar,Sai Kishore,8,15,0,1,187.5
Axar,Sandeep Sharma,8,9,0,3,112.5
Axar,Santner,2,5,0,1,250
Axar,Shahrukh Khan,2,7,0,1,350
Axar,Shami,14,13,1,2,92.85714286
Axar,Shepherd,1,1,1,1,100
Axar,Siraj,14,16,0,3,114.2857143
Axar,Southee,4,3,0,1,75
Axar,Stoinis,4,6,0,1,150
Axar,Suyash Sharma,9,12,1,2,133.3333333
Axar,T Natarajan,10,15,1,3,150
Axar,Thakur,5,12,0,2,240
Axar,Theekshana,9,25,1,2,277.7777778
Axar,Tilak Varma,3,5,0,1,166.6666667
Axar,Tushar Deshpande,5,4,0,2,80
Axar,Tymal Mills,4,4,0,1,100
Axar,Umesh Yadav,8,14,0,2,175
Axar,Umran Malik,7,3,0,1,42.85714286
Axar,Unadkat,2,2,0,1,100
Axar,Vaibhav Arora,3,8,0,1,266.6666667
Axar,Varun Chakaravarthy,5,7,0,1,140
Axar,Vijaykumar Vyshak,4,6,1,1,150
Axar,Warrier,4,2,0,1,50
Axar,Washington Sundar,6,3,0,1,50
Axar,Will Jacks,4,14,0,1,350
Axar,Yash Dayal,6,1,1,2,16.66666667
Axar,Yudhvir Singh,4,7,0,1,175
Ayush Badoni,Aaron,3,2,1,1,66.66666667
Ayush Badoni,Alzarri Joseph,4,5,0,1,125
Ayush Badoni,Arshdeep Singh,12,13,1,4,108.3333333
Ayush Badoni,Ashwani Kumar,2,4,1,1,200
Ayush Badoni,Ashwin,8,11,0,2,137.5
Ayush Badoni,Avesh Khan,2,2,0,1,100
Ayush Badoni,Axar,10,11,0,2,110
Ayush Badoni,Azmatullah,12,21,0,1,175
Ayush Badoni,Bhuvneshwar,4,4,0,2,100
Ayush Badoni,Boult,13,7,3,5,53.84615385
Ayush Badoni,Bumrah,5,3,0,1,60
Ayush Badoni,Chahal,17,17,2,3,100
Ayush Badoni,Chahar,10,27,0,3,270
Ayush Badoni,Chakaravarthy,16,18,0,2,112.5
Ayush Badoni,Chameera,4,8,0,1,200
Ayush Badoni,Chawla,1,1,0,1,100
Ayush Badoni,Corbin Bosch,6,6,0,1,100
Ayush Badoni,Cummins,7,10,0,3,142.8571429
Ayush Badoni,Darshan Nalkande,1,2,0,1,200
Ayush Badoni,Dwayne Bravo,4,5,0,1,125
Ayush Badoni,Eshan Malinga,2,0,1,1,0
Ayush Badoni,Ferguson,14,23,0,2,164.2857143
Ayush Badoni,Gerald Coetzee,5,5,0,1,100
Ayush Badoni,Gurnoor Brar,4,11,0,1,275
