venue,player,indian,role,matches,runs,avg,SR,wickets,econ
"Barsapara Cricket Stadium, Guwahati",Axar,Yes,spinner,2,2,2,33,0,9.5
"M.Chinnaswamy Stadium, Bengaluru",Axar,Yes,spinner,6,93,31,145,1,10.1
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Axar,Yes,spinner,1,NaN,NaN,NaN,0,12.5
"Punjab Cricket Association IS Bindra Stadium, Mohali",Ayush Badoni,Yes,middle_order,2,43,43,179,0,0
"Narendra Modi Stadium, Ahmedabad",Ayush Badoni,Yes,middle_order,2,21,21,191,2,4
"Sawai Mansingh Stadium, Jaipur",Ayush Badoni,Yes,middle_order,4,52,17.33333333,121,0,6
"Wankhede Stadium, Mumbai",Ayush Badoni,Yes,middle_order,6,130,32.5,143,1,6
"Brabourne Stadium, Mumbai",Ayush Badoni,Yes,middle_order,3,19,19,190,1,6
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Ayush Badoni,Yes,middle_order,18,376,34.18181818,142,0,13.5
"Rajiv Gandhi International Stadium, Hyderabad",Ayush Badoni,Yes,middle_order,3,61,61,169,0,19
"Arun Jaitley Stadium, Delhi",Ayush Badoni,Yes,middle_order,1,6,6,67,NaN,NaN
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Ayush Badoni,Yes,middle_order,1,4,4,80,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Ayush Badoni,Yes,middle_order,3,27,13.5,82,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Ayush Badoni,Yes,middle_order,2,30,15,111,NaN,NaN
"Eden Gardens, Kolkata",Ayush Badoni,Yes,middle_order,2,54,27,112,NaN,NaN
"MA Chidambaram Stadium, Chennai",Ayush Badoni,Yes,middle_order,1,23,23,128,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Ayush Badoni,Yes,middle_order,3,42,21,150,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Ayush Badoni,Yes,middle_order,1,74,74,185,NaN,NaN
"Eden Gardens, Kolkata",Ayush Mhatre,Yes,opener,1,0,0,0,NaN,NaN
"MA Chidambaram Stadium, Chennai",Ayush Mhatre,Yes,opener,2,37,18.5,148,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Ayush Mhatre,Yes,opener,1,94,94,196,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Ayush Mhatre,Yes,opener,1,34,34,200,NaN,NaN
"Wankhede Stadium, Mumbai",Ayush Mhatre,Yes,opener,1,32,32,213,NaN,NaN
"Arun Jaitley Stadium, Delhi",Ayush Mhatre,Yes,opener,1,43,43,215,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Azmatullah,No,fast_bowler,4,31,15.5,141,0,7.7
"Arun Jaitley Stadium, Delhi",Azmatullah,No,fast_bowler,2,1,1,50,0,8.5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Azmatullah,No,fast_bowler,1,NaN,NaN,NaN,2,8.5
"MA Chidambaram Stadium, Chennai",Azmatullah,No,fast_bowler,3,11,11,110,1,10
"Narendra Modi Stadium, Ahmedabad",Azmatullah,No,fast_bowler,10,34,11.33333333,121,7,10.2
"Sawai Mansingh Stadium, Jaipur",Azmatullah,No,fast_bowler,4,22,22,183,2,11.2
"Barsapara Cricket Stadium, Guwahati",Bairstow,No,wicket-keeper,1,14,14,64,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Bairstow,No,wicket-keeper,3,24,12,96,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Bairstow,No,wicket-keeper,2,44,22,107,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Bairstow,No,wicket-keeper,3,41,13.66666667,132,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Bairstow,No,wicket-keeper,1,8,8,133,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bairstow,No,wicket-keeper,1,42,42,145,NaN,NaN
"Wankhede Stadium, Mumbai",Bairstow,No,wicket-keeper,3,85,28.33333333,147,NaN,NaN
"MA Chidambaram Stadium, Chennai",Bairstow,No,wicket-keeper,1,46,46,153,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bairstow,No,wicket-keeper,2,34,17,155,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Bairstow,No,wicket-keeper,2,60,30,162,NaN,NaN
"Brabourne Stadium, Mumbai",Bairstow,No,wicket-keeper,3,83,27.66666667,184,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Bairstow,No,wicket-keeper,1,47,47,214,NaN,NaN
"Eden Gardens, Kolkata",Bairstow,No,wicket-keeper,1,108,NaN,225,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Bartlett,No,fast_bowler,1,NaN,NaN,NaN,1,8.7
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Bartlett,No,fast_bowler,3,11,11,73,1,9.7
"Sawai Mansingh Stadium, Jaipur",Bartlett,No,fast_bowler,1,NaN,NaN,NaN,0,12
"Maharashtra Cricket Association Stadium, Pune",Basil Thampi,Yes,fast_bowler,3,NaN,NaN,NaN,2,8.5
"Brabourne Stadium, Mumbai",Basil Thampi,Yes,fast_bowler,1,NaN,NaN,NaN,3,9.8
"Dr DY Patil Sports Academy, Mumbai",Basil Thampi,Yes,fast_bowler,1,NaN,NaN,NaN,0,26
"Arun Jaitley Stadium, Delhi",Behrendorff,No,fast_bowler,1,NaN,NaN,NaN,3,7.7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Behrendorff,No,fast_bowler,1,NaN,NaN,NaN,2,8
"Narendra Modi Stadium, Ahmedabad",Behrendorff,No,fast_bowler,4,6,NaN,67,1,8.1
"Rajiv Gandhi International Stadium, Hyderabad",Behrendorff,No,fast_bowler,1,NaN,NaN,NaN,2,9.2
"Wankhede Stadium, Mumbai",Behrendorff,No,fast_bowler,5,NaN,NaN,NaN,6,10.5
"M.Chinnaswamy Stadium, Bengaluru",Behrendorff,No,fast_bowler,1,NaN,NaN,NaN,0,12.3
"M.Chinnaswamy Stadium, Bengaluru",Bhandage,Yes,middle_order,1,1,1,25,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Bhui,Yes,opener,1,0,0,0,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Bhui,Yes,opener,1,3,3,43,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Bhuvneshwar,Yes,fast_bowler,5,9,NaN,82,2,6.9
"Brabourne Stadium, Mumbai",Bhuvneshwar,Yes,fast_bowler,4,5,NaN,167,3,7.2
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Bhuvneshwar,Yes,fast_bowler,4,6,6,75,3,7.5
"Dr DY Patil Sports Academy, Mumbai",Bhuvneshwar,Yes,fast_bowler,5,1,1,50,6,7.6
"Wankhede Stadium, Mumbai",Bhuvneshwar,Yes,fast_bowler,9,9,9,90,4,8.5
"Narendra Modi Stadium, Ahmedabad",Bhuvneshwar,Yes,fast_bowler,7,28,9.333333333,88,7,8.5
"Rajiv Gandhi International Stadium, Hyderabad",Bhuvneshwar,Yes,fast_bowler,18,28,9.333333333,82,12,8.7
"MA Chidambaram Stadium, Chennai",Bhuvneshwar,Yes,fast_bowler,8,4,NaN,67,2,9.1
"Arun Jaitley Stadium, Delhi",Bhuvneshwar,Yes,fast_bowler,3,NaN,NaN,NaN,5,9.2
"Sawai Mansingh Stadium, Jaipur",Bhuvneshwar,Yes,fast_bowler,2,NaN,NaN,NaN,2,9.6
"Eden Gardens, Kolkata",Bhuvneshwar,Yes,fast_bowler,2,NaN,NaN,NaN,1,10.1
"M.Chinnaswamy Stadium, Bengaluru",Bhuvneshwar,Yes,fast_bowler,9,10,10,53,6,10.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bhuvneshwar,Yes,fast_bowler,4,3,3,150,3,11.1
"Wankhede Stadium, Mumbai",Billings,No,middle_order,2,49,49,109,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Billings,No,middle_order,2,51,25.5,124,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Billings,No,middle_order,3,54,18,126,NaN,NaN
"Brabourne Stadium, Mumbai",Billings,No,middle_order,1,15,15,167,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Boult,No,fast_bowler,1,NaN,NaN,NaN,1,5.5
"Rajiv Gandhi International Stadium, Hyderabad",Boult,No,fast_bowler,3,NaN,NaN,NaN,6,6.7
"Maharashtra Cricket Association Stadium, Pune",Boult,No,fast_bowler,3,5,5,71,2,7
"Narendra Modi Stadium, Ahmedabad",Boult,No,fast_bowler,8,11,11,138,6,7.5
"Eden Gardens, Kolkata",Boult,No,fast_bowler,4,0,NaN,0,4,7.7
"Dr DY Patil Sports Academy, Mumbai",Boult,No,fast_bowler,6,5,NaN,100,3,8
"Wankhede Stadium, Mumbai",Boult,No,fast_bowler,16,1,NaN,100,19,8.3
"Barsapara Cricket Stadium, Guwahati",Boult,No,fast_bowler,4,12,12,133,4,8.5
"Sawai Mansingh Stadium, Jaipur",Boult,No,fast_bowler,10,15,15,136,8,8.6
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Boult,No,fast_bowler,2,1,NaN,50,1,8.8
"Brabourne Stadium, Mumbai",Boult,No,fast_bowler,4,17,NaN,189,3,9.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Boult,No,fast_bowler,2,NaN,NaN,NaN,2,9.9
"M.Chinnaswamy Stadium, Bengaluru",Boult,No,fast_bowler,1,NaN,NaN,NaN,2,10.2
"MA Chidambaram Stadium, Chennai",Boult,No,fast_bowler,5,1,1,20,3,10.3
"Arun Jaitley Stadium, Delhi",Boult,No,fast_bowler,3,2,NaN,67,1,11.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Boult,No,fast_bowler,1,NaN,NaN,NaN,2,14
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Breetzke,No,opener,1,14,14,117,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Brevis,No,middle_order,4,86,28.66666667,156,1,16
"M.Chinnaswamy Stadium, Bengaluru",Brevis,No,middle_order,1,0,0,0,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Brevis,No,middle_order,1,4,4,57,NaN,NaN
"Wankhede Stadium, Mumbai",Brevis,No,middle_order,4,63,15.75,107,NaN,NaN
"MA Chidambaram Stadium, Chennai",Brevis,No,middle_order,2,74,37,145,NaN,NaN
"Arun Jaitley Stadium, Delhi",Brevis,No,middle_order,1,42,42,168,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Brevis,No,middle_order,2,103,51.5,169,NaN,NaN
"Eden Gardens, Kolkata",Brevis,No,middle_order,1,52,52,208,NaN,NaN
"Brabourne Stadium, Mumbai",Brevis,No,middle_order,1,31,31,238,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bumrah,Yes,fast_bowler,1,NaN,NaN,NaN,0,4.2
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Bumrah,Yes,fast_bowler,1,NaN,NaN,NaN,3,5.2
"Dr DY Patil Sports Academy, Mumbai",Bumrah,Yes,fast_bowler,5,0,NaN,0,8,5.3
"Wankhede Stadium, Mumbai",Bumrah,Yes,fast_bowler,21,9,NaN,53,29,5.9
"Sawai Mansingh Stadium, Jaipur",Bumrah,Yes,fast_bowler,4,2,NaN,200,3,6.7
"Narendra Modi Stadium, Ahmedabad",Bumrah,Yes,fast_bowler,3,1,NaN,100,3,6.9
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",Bumrah,Yes,fast_bowler,1,NaN,NaN,NaN,1,7
"Maharashtra Cricket Association Stadium, Pune",Bumrah,Yes,fast_bowler,4,0,0,0,1,8.3
"Rajiv Gandhi International Stadium, Hyderabad",Bumrah,Yes,fast_bowler,2,NaN,NaN,NaN,1,9.4
"Arun Jaitley Stadium, Delhi",Bumrah,Yes,fast_bowler,2,NaN,NaN,NaN,2,10
"Eden Gardens, Kolkata",Bumrah,Yes,fast_bowler,1,NaN,NaN,NaN,2,10
"Brabourne Stadium, Mumbai",Bumrah,Yes,fast_bowler,3,NaN,NaN,NaN,0,10.2
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Buttler,No,wicket-keeper,1,0,0,0,NaN,NaN
"Arun Jaitley Stadium, Delhi",Buttler,No,wicket-keeper,1,19,19,112,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Buttler,No,wicket-keeper,2,43,21.5,116,NaN,NaN
"MA Chidambaram Stadium, Chennai",Buttler,No,wicket-keeper,2,73,36.5,120,NaN,NaN
"Wankhede Stadium, Mumbai",Buttler,No,wicket-keeper,8,312,44.57142857,138,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Buttler,No,wicket-keeper,11,385,42.77777778,141,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Buttler,No,wicket-keeper,4,228,57,147,NaN,NaN
"Brabourne Stadium, Mumbai",Buttler,No,wicket-keeper,3,107,35.66666667,149,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Buttler,No,wicket-keeper,2,50,25,156,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Buttler,No,wicket-keeper,2,98,49,158,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Buttler,No,wicket-keeper,10,473,59.125,159,NaN,NaN
"Eden Gardens, Kolkata",Buttler,No,wicket-keeper,4,237,118.5,167,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Buttler,No,wicket-keeper,2,73,73,178,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Buttler,No,wicket-keeper,3,54,18,208,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Chahal,Yes,spinner,2,NaN,NaN,NaN,3,5.6
"Maharashtra Cricket Association Stadium, Pune",Chahal,Yes,spinner,2,NaN,NaN,NaN,3,6
"Wankhede Stadium, Mumbai",Chahal,Yes,spinner,7,NaN,NaN,NaN,13,7.1
"MA Chidambaram Stadium, Chennai",Chahal,Yes,spinner,4,NaN,NaN,NaN,7,7.7
"Dr DY Patil Sports Academy, Mumbai",Chahal,Yes,spinner,5,5,5,62,5,8.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Chahal,Yes,spinner,5,NaN,NaN,NaN,6,8.6
"Sawai Mansingh Stadium, Jaipur",Chahal,Yes,spinner,11,NaN,NaN,NaN,13,8.8
"Brabourne Stadium, Mumbai",Chahal,Yes,spinner,3,NaN,NaN,NaN,8,9
"Barsapara Cricket Stadium, Guwahati",Chahal,Yes,spinner,3,NaN,NaN,NaN,6,9.1
"Eden Gardens, Kolkata",Chahal,Yes,spinner,3,NaN,NaN,NaN,5,9.2
"Narendra Modi Stadium, Ahmedabad",Chahal,Yes,spinner,7,NaN,NaN,NaN,5,9.4
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chahal,Yes,spinner,2,NaN,NaN,NaN,1,9.6
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chahal,Yes,spinner,2,NaN,NaN,NaN,1,11.2
"Rajiv Gandhi International Stadium, Hyderabad",Chahal,Yes,spinner,3,NaN,NaN,NaN,5,11.2
"Arun Jaitley Stadium, Delhi",Chahal,Yes,spinner,1,NaN,NaN,NaN,1,12
"Rajiv Gandhi International Stadium, Hyderabad",Chahar,Yes,spinner,2,NaN,NaN,NaN,3,6.3
"Arun Jaitley Stadium, Delhi",Chahar,Yes,spinner,2,NaN,NaN,NaN,4,6.7
"Sawai Mansingh Stadium, Jaipur",Chahar,Yes,spinner,2,NaN,NaN,NaN,1,8.2
"MA Chidambaram Stadium, Chennai",Chahar,Yes,spinner,13,29,NaN,171,14,8.6
"Narendra Modi Stadium, Ahmedabad",Chahar,Yes,spinner,3,NaN,NaN,NaN,2,9.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chahar,Yes,spinner,3,NaN,NaN,NaN,0,10
"Wankhede Stadium, Mumbai",Chahar,Yes,spinner,11,9,9,90,5,10.4
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Chahar,Yes,spinner,1,NaN,NaN,NaN,0,10.5
"Arun Jaitley Stadium, Delhi",Chakaravarthy,Yes,spinner,2,1,NaN,17,2,4.2
"Rajiv Gandhi International Stadium, Hyderabad",Chakaravarthy,Yes,spinner,1,NaN,NaN,NaN,1,6
"Wankhede Stadium, Mumbai",Chakaravarthy,Yes,spinner,4,NaN,NaN,NaN,4,6
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chakaravarthy,Yes,spinner,1,NaN,NaN,NaN,1,6.8
"Maharashtra Cricket Association Stadium, Pune",Chakaravarthy,Yes,spinner,2,NaN,NaN,NaN,2,7.1
"MA Chidambaram Stadium, Chennai",Chakaravarthy,Yes,spinner,3,NaN,NaN,NaN,3,7.4
"M.Chinnaswamy Stadium, Bengaluru",Chakaravarthy,Yes,spinner,2,NaN,NaN,NaN,3,7.8
"Dr DY Patil Sports Academy, Mumbai",Chakaravarthy,Yes,spinner,5,10,NaN,62,2,8.6
"Narendra Modi Stadium, Ahmedabad",Chakaravarthy,Yes,spinner,2,NaN,NaN,NaN,2,8.8
"Eden Gardens, Kolkata",Chakaravarthy,Yes,spinner,15,0,NaN,0,20,9.1
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Chakaravarthy,Yes,spinner,1,NaN,NaN,NaN,3,9.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chakaravarthy,Yes,spinner,1,NaN,NaN,NaN,3,10
"Brabourne Stadium, Mumbai",Chakaravarthy,Yes,spinner,5,2,NaN,100,1,13.7
"Maharashtra Cricket Association Stadium, Pune",Chameera,No,fast_bowler,5,17,17,155,3,5.9
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chameera,No,fast_bowler,1,NaN,NaN,NaN,1,8.3
"Wankhede Stadium, Mumbai",Chameera,No,fast_bowler,8,22,22,122,4,8.6
"Dr DY Patil Sports Academy, Mumbai",Chameera,No,fast_bowler,2,1,NaN,33,2,11
"Arun Jaitley Stadium, Delhi",Chameera,No,fast_bowler,5,2,NaN,50,2,11.4
"Brabourne Stadium, Mumbai",Chameera,No,fast_bowler,4,0,0,0,1,12
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chameera,No,fast_bowler,1,NaN,NaN,NaN,0,13.5
"Eden Gardens, Kolkata",Chameera,No,fast_bowler,3,11,NaN,275,0,14.7
"MA Chidambaram Stadium, Chennai",Chawla,Yes,spinner,2,2,NaN,100,2,6.2
"M.Chinnaswamy Stadium, Bengaluru",Chawla,Yes,spinner,1,NaN,NaN,NaN,0,6.5
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chawla,Yes,spinner,1,NaN,NaN,NaN,2,7.2
"Arun Jaitley Stadium, Delhi",Chawla,Yes,spinner,3,10,10,250,4,7.2
"Wankhede Stadium, Mumbai",Chawla,Yes,spinner,15,8,4,62,15,8
"Sawai Mansingh Stadium, Jaipur",Chawla,Yes,spinner,2,1,NaN,100,1,8.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chawla,Yes,spinner,2,NaN,NaN,NaN,1,8.2
"Eden Gardens, Kolkata",Chawla,Yes,spinner,2,1,NaN,50,2,9.3
"Narendra Modi Stadium, Ahmedabad",Chawla,Yes,spinner,6,18,6,120,4,11
"Rajiv Gandhi International Stadium, Hyderabad",Chawla,Yes,spinner,2,NaN,NaN,NaN,3,12.8
"Dr DY Patil Sports Academy, Mumbai",Chetan Sakariya,Yes,fast_bowler,1,NaN,NaN,NaN,2,5.8
"Wankhede Stadium, Mumbai",Chetan Sakariya,Yes,fast_bowler,2,NaN,NaN,NaN,1,9.1
"Wankhede Stadium, Mumbai",Conway,No,opener,4,8,2,36,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",Conway,No,opener,1,8,8,50,NaN,NaN
"Brabourne Stadium, Mumbai",Conway,No,opener,1,16,16,114,NaN,NaN
"MA Chidambaram Stadium, Chennai",Conway,No,opener,10,415,51.875,131,NaN,NaN
"Eden Gardens, Kolkata",Conway,No,opener,2,56,28,133,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Conway,No,opener,1,69,NaN,141,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Conway,No,opener,3,100,33.33333333,152,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Conway,No,opener,2,141,141,153,NaN,NaN
"Arun Jaitley Stadium, Delhi",Conway,No,opener,2,97,48.5,162,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Conway,No,opener,1,87,87,178,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Conway,No,opener,1,83,83,184,NaN,NaN
"Wankhede Stadium, Mumbai",Corbin Bosch,No,fast_bowler,3,47,23.5,147,1,6.5
"Sawai Mansingh Stadium, Jaipur",Corbin Bosch,No,fast_bowler,1,NaN,NaN,NaN,0,10
"Maharashtra Cricket Association Stadium, Pune",Coulter-Nile,No,fast_bowler,2,1,NaN,50,0,16.3
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Cummins,No,fast_bowler,2,3,3,75,1,5.5
"Dr DY Patil Sports Academy, Mumbai",Cummins,No,fast_bowler,2,0,0,0,3,6.5
"Wankhede Stadium, Mumbai",Cummins,No,fast_bowler,4,43,NaN,205,4,7.6
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Cummins,No,fast_bowler,3,13,NaN,217,3,8.5
"MA Chidambaram Stadium, Chennai",Cummins,No,fast_bowler,7,34,17,110,4,8.6
"Rajiv Gandhi International Stadium, Hyderabad",Cummins,No,fast_bowler,17,72,24,232,14,9.7
"Eden Gardens, Kolkata",Cummins,No,fast_bowler,4,14,14,88,2,9.8
"Arun Jaitley Stadium, Delhi",Cummins,No,fast_bowler,3,1,NaN,100,0,10
"Narendra Modi Stadium, Ahmedabad",Cummins,No,fast_bowler,6,51,51,142,3,10
"M.Chinnaswamy Stadium, Bengaluru",Cummins,No,fast_bowler,1,NaN,NaN,NaN,3,10.8
"Brabourne Stadium, Mumbai",Cummins,No,fast_bowler,6,7,2.333333333,100,2,12.2
"Maharashtra Cricket Association Stadium, Pune",Cummins,No,fast_bowler,2,56,NaN,373,2,12.2
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Cummins,No,fast_bowler,2,2,2,29,0,13.5
"Dr DY Patil Sports Academy, Mumbai",Daniel Sams,No,fast_bowler,8,12,4,171,6,7.5
"Wankhede Stadium, Mumbai",Daniel Sams,No,fast_bowler,8,19,6.333333333,76,6,8.1
"Brabourne Stadium, Mumbai",Daniel Sams,No,fast_bowler,4,7,7,175,0,10.7
"Maharashtra Cricket Association Stadium, Pune",Daniel Sams,No,fast_bowler,1,NaN,NaN,NaN,1,16.7
"Narendra Modi Stadium, Ahmedabad",Darshan Nalkande,Yes,fast_bowler,2,NaN,NaN,NaN,1,8.8
"Dr DY Patil Sports Academy, Mumbai",Darshan Nalkande,Yes,fast_bowler,1,NaN,NaN,NaN,0,10.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Darshan Nalkande,Yes,fast_bowler,2,12,12,109,2,10.5
"MA Chidambaram Stadium, Chennai",Darshan Nalkande,Yes,fast_bowler,2,0,0,0,1,11.2
"Brabourne Stadium, Mumbai",Darshan Nalkande,Yes,fast_bowler,1,NaN,NaN,NaN,2,12.3
"Maharashtra Cricket Association Stadium, Pune",Daryl Mitchell,No,middle_order,2,16,16,67,0,7
"Dr DY Patil Sports Academy, Mumbai",Daryl Mitchell,No,middle_order,2,17,17,85,0,20
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",de Kock,No,wicket-keeper,1,2,2,50,NaN,NaN
"Sawai Mansingh Stadium, Jaipur",de Kock,No,wicket-keeper,1,4,4,80,NaN,NaN
"Arun Jaitley Stadium, Delhi",de Kock,No,wicket-keeper,2,21,10.5,100,NaN,NaN
"Eden Gardens, Kolkata",de Kock,No,wicket-keeper,6,64,10.66666667,107,NaN,NaN
"MA Chidambaram Stadium, Chennai",de Kock,No,wicket-keeper,2,23,11.5,121,NaN,NaN
"Wankhede Stadium, Mumbai",de Kock,No,wicket-keeper,5,80,16,121,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",de Kock,No,wicket-keeper,2,31,15.5,129,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",de Kock,No,wicket-keeper,6,157,26.16666667,135,NaN,NaN
"Brabourne Stadium, Mumbai",de Kock,No,wicket-keeper,3,92,30.66666667,139,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",de Kock,No,wicket-keeper,3,107,35.66666667,141,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",de Kock,No,wicket-keeper,1,81,81,145,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",de Kock,No,wicket-keeper,1,97,NaN,159,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",de Kock,No,wicket-keeper,1,70,70,171,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",de Kock,No,wicket-keeper,4,224,74.66666667,171,NaN,NaN
"Narendra Modi Stadium, Ahmedabad",Dhawan,Yes,opener,1,1,1,50,NaN,NaN
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",Dhawan,Yes,opener,2,36,18,112,NaN,NaN
"Maharashtra Cricket Association Stadium, Pune",Dhawan,Yes,opener,2,75,37.5,115,NaN,NaN
"Dr DY Patil Sports Academy, Mumbai",Dhawan,Yes,opener,4,132,44,121,NaN,NaN
"Eden Gardens, Kolkata",Dhawan,Yes,opener,1,57,57,121,NaN,NaN
"M.Chinnaswamy Stadium, Bengaluru",Dhawan,Yes,opener,1,45,45,122,NaN,NaN
"Brabourne Stadium, Mumbai",Dhawan,Yes,opener,4,98,24.5,124,NaN,NaN
"Wankhede Stadium, Mumbai",Dhawan,Yes,opener,4,155,51.66666667,127,NaN,NaN
"Punjab Cricket Association IS Bindra Stadium, Mohali",Dhawan,Yes,opener,4,79,19.75,134,NaN,NaN
"Arun Jaitley Stadium, Delhi",Dhawan,Yes,opener,1,7,7,140,NaN,NaN
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Dhawan,Yes,opener,1,70,70,140,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dhawan,Yes,opener,1,17,17,142,NaN,NaN
"Rajiv Gandhi International Stadium, Hyderabad",Dhawan,Yes,opener,1,99,NaN,150,NaN,NaN
"Barsapara Cricket Stadium, Guwahati",Dhawan,Yes,opener,1,86,NaN,154,NaN,NaN
"MA Chidambaram Stadium, Chennai",Dhawan,Yes,opener,1,28,28,187,NaN,NaN
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dhoni,Yes,wicket-keeper,1,0,0,0,NaN,NaN
